"";"";"";"";"nationalité";""
"1";"nationalité";"-0.552355782809198";"-4.06020573103554";"2.3364415495372";"19"
"2";"djihadisme";"-0.552355782809198";"-4.06020573103554";"2.3364415495372";"20"
"3";"australie";"-0.552355782809198";"-4.06020573103554";"2.3364415495372";"21"
"4";"marque";"-1.30591460355381";"-0.0661764837198986";"2.3364415495372";"26"
"5";"intéressant";"-2.19779930249115";"0.299887126249512";"2.03990401097017";"45"
"6";"retraite";"-0.549291521289604";"1.60992876970756";"1.83990401097017";"65"
"7";"union";"-1.93978211742964";"0.594691836035261";"1.64024682893384";"75"
"8";"député";"-1.44770235926789";"0.0606588165050228";"1.59019540623929";"77"
"9";"présidentiel";"-0.824042818156528";"1.39158849579789";"1.59019540623929";"81"
"10";"pénitentiaire";"2.31621182453716";"0.150617615607541";"1.41309564621186";"91"
"11";"assemblée";"-1.63086204615386";"0.804280362985474";"1.4021254713747";"96"
"12";"essentiel";"-1.60320950319959";"0.0558447196032378";"1.37634556050737";"107"
"13";"aménagement";"2.32869022037763";"0.0700576668569734";"1.37634556050737";"108"
"14";"projet";"2.32869022037763";"0.0700576668569734";"1.37634556050737";"109"
"15";"corruption";"2.3147144170363";"0.160284809457609";"1.27000342817964";"124"
"16";"ensemble";"-1.85377638907581";"0.692960072630511";"1.24538909838876";"131"
"17";"citer";"-0.700615964319328";"0.298466591952529";"1.24538909838876";"133"
"18";"soutien";"-1.90050440284537";"0.177865922926375";"1.24538909838876";"134"
"19";"philippe";"-1.59692678867767";"0.74746957442845";"1.24538909838876";"136"
"20";"expérience";"-0.683146210142667";"0.185682663701734";"1.24538909838876";"137"
"21";"emmanuel";"-1.70512893925292";"0.631949470968942";"1.2448405896469";"138"
"22";"chenu";"-1.55334013216907";"0.91675129671998";"1.2448405896469";"139"
"23";"macron";"-1.24863355217162";"1.03202307581616";"1.17161467260884";"142"
"24";"électeur";"-1.68176493236814";"0.88949654582101";"1.17161467260884";"143"
"25";"chercher";"-0.780456161647929";"1.56087021808942";"1.17161467260884";"145"
"26";"patron";"-1.75185695302248";"0.116855321264807";"1.17161467260884";"148"
"27";"prononcer";"1.64772222502054";"0.463201867839312";"1.17161467260884";"153"
"28";"baisser";"-1.30120256766237";"0.45254215739901";"1.17161467260884";"167"
"29";"choix";"-0.165212748401014";"0.366888810488177";"1.17161467260884";"169"
"30";"solution";"-0.65203136144886";"1.58812496898839";"1.15214261227288";"171"
"31";"répondre";"-0.996054274864196";"1.19505202260739";"1.15214261227288";"173"
"32";"haut";"2.31122046620097";"0.182841595107769";"1.15214261227288";"174"
"33";"laisser";"2.31122046620097";"0.182841595107769";"1.15214261227288";"175"
"34";"centaine";"2.31122046620097";"0.182841595107769";"1.15214261227288";"176"
"35";"récidive";"2.31122046620097";"0.182841595107769";"1.15214261227288";"178"
"36";"proche";"2.31122046620097";"0.182841595107769";"1.15214261227288";"179"
"37";"assassinat";"2.31122046620097";"0.182841595107769";"1.15214261227288";"180"
"38";"remercier";"1.39743988766597";"0.744628505834485";"1.15214261227288";"184"
"39";"écrire";"-0.522083369357053";"0.389859803968529";"1.1339046966061";"190"
"40";"travail";"1.71127624693795";"0.122541260594691";"1.1339046966061";"192"
"41";"année";"-0.830133918978959";"0.207685810125856";"1.12855673637299";"194"
"42";"ministre";"0.0382091098847722";"0.342968273840415";"1.08179636612959";"207"
"43";"gouvernement";"-0.155132934407484";"1.24015092219277";"1.05073705862187";"210"
"44";"durer";"-0.557573099553261";"-0.10129623012849";"1.05073705862187";"214"
"45";"voir";"0.380468562467435";"0.273797119667194";"1.02913952691121";"229"
"46";"nombreux";"0.270946879500915";"0.206240422311685";"1.00281110730202";"231"
"47";"fermer";"1.63461990938805";"0.547789814027408";"1.00281110730202";"232"
"48";"constater";"1.63461990938805";"0.547789814027408";"1.00281110730202";"235"
"49";"assumer";"-0.815502171975098";"1.17454960581132";"1.00281110730202";"236"
"50";"suspension";"-1.03847334670943";"1.26606550830367";"1.00281110730202";"237"
