"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Coord. facteur 5";"Coord. facteur 6";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"Corr. facteur 5";"Corr. facteur 6";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"COR -facteur 5";"COR -facteur 6";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"CTR -facteur 5";"CTR -facteur 6";"mass";"chi.distance";"inertie"
"français";-0,469680414619976;-0,150678312171335;-0,197202447820884;0,745982018441299;-0,0578691363815936;0,0380463849592758;-0,511405711753138;-0,164064217035942;-0,214721446856368;0,812253296541417;-0,0630100935839823;0,0414263358106497;0,337151627716837;0,0325337458177201;0,0475525009645346;0,579156416878001;0,00261072183920548;0,000994986783700073;0,00272474678803677;0,000280428882531524;0,000480336789116512;0,00687350045975374;4,13633066908972e-05;1,78791983943965e-05;0,0123515439429929;0,481999770982293;0,00286955736812426
"voir";0,380468562467435;0,273797119667194;0,421600523609697;0,241925660210847;0,249585564668018;-0,132578610086025;0,519745301014017;0,374025032332012;0,575934289104226;0,330486503993517;0,34095044172864;-0,181111178175408;0,331411009113519;0,160916042316612;0,325581755314368;0,0912456230480292;0,0727469087415954;0,0180986614658835;0,0019254998369259;0,000997157319080975;0,00236433066138868;0,000778520048416496;0,00082859986438874;0,000233804493997902;0,0133016627078385;0,393815063028582;0,00206295891131105
"prison";2,08714276011139;0,295092340726754;-0,127949595893437;-0,614767253680922;-0,0481347812410335;-0,30653055804818;0,93963669349619;0,132851281961058;-0,0576032159932683;-0,276769697099036;-0,0216703943553307;-0,138000794926248;0,916757721929238;0,0171821836389409;0,00275649052147368;0,0541614787008895;0,000248722177230329;0,00889340303223364;0,0248332440916982;0,000496415142359684;9,33269306753088e-05;0,0021545203393732;1,32083068795562e-05;0,000535644558768621;0,00570071258907363;1,29891842977216;0,00961818006955884
"budget";-0,480055292748257;1,1738331335815;0,644920970881198;0,938805556039408;-0,207748191211497;-0,487911888665777;-0,268912859681304;0,657546806604213;0,361265764939815;0,525891268303636;-0,11637442818821;-0,273313893702709;0,0891723839460483;0,499888098886768;0,128762456049863;0,23222980107374;0,00851860725423356;0,0414286527893494;0,0015327045973105;0,00916407560898461;0,00276623411950254;0,00586174926779405;0,000287045298490776;0,00158328368428488;0,00665083135391924;0,957928479452338;0,00610298223488938
"aller";-0,568619973185105;0,739132131329898;-0,765151918739995;0,602484876266252;-0,101037210748919;-0,149456166960257;-0,41798586179346;0,543327345964669;-0,56245418599347;0,442879554182836;-0,0742712665746377;-0,109863472430108;0,206416722408754;0,327006991146387;0,299036637769539;0,157801726707789;0,00332437183643344;0,00641355013109693;0,00276480576260833;0,00467158837822185;0,00500628705820757;0,00310393561535966;8,72937402406582e-05;0,000191006472762062;0,00855106888361045;0,745773046407812;0,00475591157314536
"pays";0,0652596342909497;-0,371732109322854;0,601507773214201;-0,326828130373202;-0,469429437862063;-0,0703852535865275;0,0713576022352034;-0,40646737119077;0,657713652378748;-0,35736749033055;-0,513293699365731;-0,0769621678579938;0,00697406984979269;0,212162874035567;0,474032273226426;0,119111769253481;0,184070377643459;0,00364863599126776;4,6533423733556e-05;0,00150985724719108;0,00395328590425342;0,00116711753751762;0,00240777764086667;5,41301331192946e-05;0,0109263657957245;0,465648813634484;0,00236915097658035
"peine";2,3199553432893;0,126449630982371;-0,301872345080273;-0,752195434301209;-0,434475797199968;0,877583766607266;0,875983298139995;0,0477456452413746;-0,113982854551738;-0,284018672726172;-0,164052098198414;0,331363586152825;0,854582127613806;0,00238035594803623;0,0115762957487187;0,0611751068374367;0,0152887498011054;0,0549973640508977;0,0153411671112302;4,55757981251623e-05;0,000259744169285312;0,00161272580916936;0,000538059529745979;0,00219521121352759;0,00285035629453682;1,49540811752384;0,00637409626020771
"passer";-0,26443970822078;-0,157335249020377;0,0220587932086305;0,798798331249735;-0,0967618059401794;0,0803411662677507;-0,30553905215879;-0,181788367489491;0,0254871812334049;0,922947943930941;-0,111800571370514;0,0928278281500967;0,130534156155185;0,0433246544495931;0,000726712661868463;0,81108042552492;0,00891507495011447;0,00541897625831952;0,000664402463504906;0,000235196015052769;4,62318629758788e-06;0,00606250616634072;8,89581671145362e-05;6,13273443920415e-05;0,00950118764845606;0,436135660212695;0,00180726189177353
"gens";0,283825950608649;-0,158512617652455;-0,291315757173677;0,297498602072338;-0,793604709876117;-0,188768570945092;0,292046566334918;-0,163103710590544;-0,299753304514209;0,306115226737892;-0,816590343657871;-0,19423598461748;0,141436024423393;0,0413614476323119;0,119209863700422;0,105814331361718;0,564040841727577;0,028137491154578;0,000765388790868439;0,000238729215724783;0,00080631705822017;0,000840906586555777;0,00598392812862286;0,000338561267236599;0,00950118764845606;0,449706424970563;0,00192148093738532
"politique";-0,736653316961004;-0,271846260720421;0,85457987615399;-0,497256912006351;0,531332445256548;-0,33909315518263;-0,522012425037566;-0,19263759835018;0,605578368098304;-0,352369670408839;0,376516513078014;-0,240290562975765;0,347782208204846;0,0444058315255107;0,374468065982687;0,107909956041343;0,0922911328261017;0,0331428054195112;0,00438251204732733;0,000596820247482413;0,00589796437071985;0,00199690993878744;0,00227997189809935;0,000928613232379617;0,00807600950118765;0,744331639200208;0,00447434822562753
