"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"7";"***";"";""
"**";"classe";"1";"**";"";""
"****";"5";"40";"12.5";"****";""
"0";"14";"0";"-3.077";"notamment";"0.07941063"
"0";"14";"0";"-3.077";"partie";"0.07941063"
"0";"12";"0";"-2.449";"prison";"0.11760129"
"0";"12";"0";"-2.449";"loi";"0.11760129"
"0";"12";"0";"-2.449";"comprendre";"0.11760129"
"*****";"*";"*";"*";"*";"*"
"0";"15";"0.00";"-3.429";"parfois";"0.06407751"
"0";"14";"0.00";"-3.077";"contre";"0.07941063"
"1";"21";"4.76";"-2.420";"ailleurs";"0.11976920"
"*";"*";"*";"*";"*";"*"
"0";"13";"0";"-2.751";"*videoid_6IOUEJN6GRI";"0.09717401"
"**";"classe";"2";"**";"";""
"****";"6";"40";"15";"****";""
"2";"28";"7.14";"-4.519";"voir";"0.03351766"
"0";"15";"0.00";"-4.235";"ministre";"0.03959176"
"0";"14";"0.00";"-3.801";"sécurité";"0.05122489"
"0";"14";"0.00";"-3.801";"prendre";"0.05122489"
"1";"20";"5.00";"-3.137";"passer";"0.07652250"
"1";"20";"5.00";"-3.137";"gens";"0.07652250"
"2";"26";"7.69";"-3.111";"français";"0.07774618"
"0";"12";"0.00";"-3.025";"prison";"0.08197970"
"0";"12";"0.00";"-3.025";"loi";"0.08197970"
"0";"10";"0.00";"-2.353";"justice";"0.12504688"
"0";"10";"0.00";"-2.353";"mois";"0.12504688"
"0";"10";"0.00";"-2.353";"seul";"0.12504688"
"0";" 9";"0.00";"-2.049";"compte";"0.15227260"
"0";" 9";"0.00";"-2.049";"jour";"0.15227260"
"0";" 9";"0.00";"-2.049";"problème";"0.15227260"
"*****";"*";"*";"*";"*";"*"
"0";"13";"0.00";"-3.399";"point";"0.06524811"
"1";"19";"5.26";"-2.691";"pouvoir";"0.10091384"
"0";"11";"0.00";"-2.677";"personne";"0.10177636"
"0";"11";"0.00";"-2.677";"10";"0.10177636"
"0";"11";"0.00";"-2.677";"sous";"0.10177636"
"0";"10";"0.00";"-2.353";"3";"0.12504688"
"*";"*";"*";"*";"*";"*"
"0";"13";"0";"-3.399";"*videoid_6IOUEJN6GRI";"0.06524811"
"**";"classe";"3";"**";"";""
"****";"5";"40";"12.5";"****";""
"0";"17";"0";"-4.224";"politique";"0.03986544"
"0";"14";"0";"-3.077";"budget";"0.07941063"
"0";"12";"0";"-2.449";"grand";"0.11760129"
"1";"20";"5";"-2.057";"venir";"0.15149399"
"*****";"*";"*";"*";"*";"*"
"0";"11";"0";"-2.167";"10";"0.1409563"
"*";"*";"*";"*";"*";"*"
"**";"classe";"4";"**";"";""
"****";"7";"40";"17.5";"****";""
"0";"16";"0.00";"-5.657";"effet";"0.01739014"
"2";"26";"7.69";"-4.949";"français";"0.02610069"
"0";"10";"0.00";"-2.828";"semaine";"0.09261734"
"0";"10";"0.00";"-2.828";"cas";"0.09261734"
"0";" 9";"0.00";"-2.463";"monde";"0.11653053"
"0";" 8";"0.00";"-2.121";"vrai";"0.14527153"
"0";" 8";"0.00";"-2.121";"partir";"0.14527153"
"0";" 8";"0.00";"-2.121";"public";"0.14527153"
"0";" 8";"0.00";"-2.121";"macron";"0.14527153"
"0";" 8";"0.00";"-2.121";"décider";"0.14527153"
"*****";"*";"*";"*";"*";"*"
"0";"15";"0";"-5.091";"moins";"0.02405158"
"0";"13";"0";"-4.085";"dire";"0.04325784"
"0";"11";"0";"-3.218";"personne";"0.07281518"
"0";"11";"0";"-3.218";"quelques";"0.07281518"
"0";"10";"0";"-2.828";"3";"0.09261734"
"*";"*";"*";"*";"*";"*"
"0";"9";"0";"-2.463";"*videoid_p6Pzs3iGwNk";"0.1165305"
"**";"classe";"5";"**";"";""
"****";"7";"40";"17.5";"****";""
"0";"14";"0.0";"-4.569";"partie";"0.03256004"
"1";"20";"5.0";"-4.329";"gens";"0.03746816"
"0";"11";"0.0";"-3.218";"connaître";"0.07281518"
"2";"23";"8.7";"-2.906";"pays";"0.08827040"
"0";"10";"0.0";"-2.828";"mois";"0.09261734"
"0";" 9";"0.0";"-2.463";"mettre";"0.11653053"
"0";" 9";"0.0";"-2.463";"instant";"0.11653053"
"0";" 8";"0.0";"-2.121";"moment";"0.14527153"
"0";" 8";"0.0";"-2.121";"vrai";"0.14527153"
"0";" 8";"0.0";"-2.121";"agent";"0.14527153"
"0";" 8";"0.0";"-2.121";"partir";"0.14527153"
"0";" 8";"0.0";"-2.121";"rappeler";"0.14527153"
"0";" 8";"0.0";"-2.121";"dernier";"0.14527153"
"*****";"*";"*";"*";"*";"*"
"1";"16";"6.25";"-2.338";"savoir";"0.1262789"
"0";" 8";"0.00";"-2.121";"jamais";"0.1452715"
"*";"*";"*";"*";"*";"*"
"**";"classe";"6";"**";"";""
"****";"5";"40";"12.5";"****";""
"0";"18";"0";"-4.675";"aller";"0.03059892"
"0";"15";"0";"-3.429";"chose";"0.06407751"
"0";"14";"0";"-3.077";"budget";"0.07941063"
"0";"12";"0";"-2.449";"prison";"0.11760129"
"0";"12";"0";"-2.449";"grand";"0.11760129"
"*****";"*";"*";"*";"*";"*"
"0";"11";"0";"-2.167";"quelques";"0.1409563"
"*";"*";"*";"*";"*";"*"
"0";"13";"0";"-2.751";"*videoid_6IOUEJN6GRI";"0.09717401"
"**";"classe";"7";"**";"";""
"****";"5";"40";"12.5";"****";""
"0";"23";"0.00";"-7.731";"pays";"0.005427790"
"1";"28";"3.57";"-6.803";"voir";"0.009101905"
"0";"17";"0.00";"-4.224";"politique";"0.039865436"
"0";"14";"0.00";"-3.077";"parler";"0.079410626"
"0";"14";"0.00";"-3.077";"sécurité";"0.079410626"
