"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7"
"français";3,077;-3,111;-1,57;-4,949;0,154;3,077;3,077
"voir";0,272;-4,519;0,272;3,636;3,636;-0,272;-6,803
"prison";-2,449;-3,025;6,803;19,798;-0,998;-2,449;-2,449
"budget";10,612;-1,043;-3,077;-0,154;4,949;-3,077;-0,565
"aller";2,828;-0,388;-1,443;-0,925;0,505;-4,675;6,984
"pays";1,184;0,243;0,015;0,674;-2,906;4,224;-7,731
"peine";-1,008;-1,246;9,076;5,164;-1,497;-1,008;-1,008
"passer";2,057;-3,137;-0,229;-1,558;0,173;2,057;0,229
"gens";2,057;-3,137;0,229;1,558;-4,329;0,229;0,229
"politique";-0,015;4,816;-4,224;-0,674;0,744;3,288;-4,224
"parler";1,57;-0,009;0,063;-1,6;4,949;-0,565;-3,077
"milliard";18,936;-1,246;-1,008;-1,497;1,226;-1,008;-1,008
"année";1,57;0,698;-0,565;-1,6;-1,6;-0,565;5,086
"voter";0,686;2,353;-1,905;0,058;1,443;-1,905;-1,905
"venir";0,229;0;-2,057;4,329;0,173;-0,229;-2,057
"trouver";1,234;-0,052;0,015;0,104;0,104;-0,747;-0,747
"fois";-0,407;0,002;-0,407;2,349;-0,06;0,147;-0,407
"sécurité";1,57;-3,801;0,063;0,23;0,23;1,57;-3,077
"loi";-2,449;-3,025;6,803;12,542;-0,998;-0,272;-2,449
"comprendre";-2,449;-0,598;2,449;-0,008;0,668;2,449;-2,449
"prendre";1,57;-3,801;1,57;-0,154;-0,154;1,57;-0,565
"justice";-1,905;-2,353;17,143;1,443;0,058;-1,905;-1,905
"chose";0,015;0,471;1,234;-0,289;0,104;-3,429;0,015
"état";6,803;-0,598;-0,272;-0,998;-0,008;0,272;-0,272
"mois";-0,076;-2,353;9,219;0,058;-2,828;-0,076;0,686
"moment";1,429;-1,765;0;2,771;-2,121;-1,429;1,429
"ministre";4,404;-4,235;-0,747;0,104;1,397;0,015;-0,747
"déficit";15,461;-1,497;-1,212;-1,8;3,779;-1,212;-1,212
