français;5;2;2;2;5;5;5
voir;4;2;4;7;7;3;1
prison;0;0;4;7;1;0;0
budget;5;1;0;2;5;0;1
aller;4;2;1;2;4;0;5
pays;4;4;3;5;2;5;0
peine;0;0;3;3;0;0;0
passer;4;1;2;2;4;4;3
gens;4;1;3;5;1;3;3
politique;2;5;0;2;4;4;0
parler;3;2;2;1;5;1;0
milliard;4;0;0;0;2;0;0
année;3;3;1;1;1;1;4
voter;2;3;0;2;3;0;0
venir;3;3;1;6;4;2;1
trouver;3;2;2;3;3;1;1
fois;1;2;1;4;2;2;1
sécurité;3;0;2;3;3;3;0
loi;0;0;4;6;1;1;0
comprendre;0;1;3;2;3;3;0
prendre;3;0;3;2;2;3;1
justice;0;0;5;3;2;0;0
chose;2;3;3;2;3;0;2
état;4;1;1;1;2;2;1
mois;1;0;4;2;0;1;2
moment;2;0;1;3;0;0;2
ministre;4;0;1;3;4;2;1
déficit;4;0;0;0;3;0;0
compte;3;0;1;2;3;0;0
national;0;6;0;1;2;0;0
gouvernement;2;0;1;0;2;0;0
effet;3;2;4;0;2;4;1
notamment;0;1;2;3;6;1;1
député;0;4;0;0;2;1;0
acheter;1;1;1;0;0;0;4
partie;0;3;1;7;0;1;2
grand;1;1;0;4;3;0;3
exemple;1;1;2;4;1;1;4
arriver;0;1;0;2;2;1;3
vrai;1;2;1;0;0;2;2
semaine;0;2;0;0;4;0;4
nombre;1;1;2;1;2;3;1
hôpital;0;0;0;1;2;0;0
fond;1;1;1;2;4;0;1
fin;2;1;2;1;2;1;3
agent;0;0;3;5;0;0;0
étranger;0;0;1;3;0;3;0
premier;3;1;2;1;1;0;2
mettre;2;1;3;1;0;0;2
européen;1;1;1;2;0;1;1
droit;1;3;0;1;4;0;1
cas;1;2;3;0;1;1;2
appeler;2;1;1;2;1;3;2
accord;2;2;0;1;0;1;1
sûr;0;1;0;1;2;2;1
social;1;0;0;1;4;0;0
partir;2;2;1;0;0;2;1
moyen;1;0;0;0;1;1;1
jour;0;0;3;3;1;0;2
euro;3;0;1;0;2;0;1
vote;1;0;0;0;3;0;0
travailler;0;1;1;2;2;0;0
place;1;1;1;2;1;1;1
important;1;2;3;3;1;3;0
téléphone;0;0;1;4;0;0;1
souhaiter;1;0;1;2;1;0;1
public;4;0;1;0;3;0;0
noël;0;0;0;0;0;1;3
monde;1;1;2;0;1;3;1
macron;3;2;0;0;2;0;1
face;1;1;1;1;0;3;0
connaître;2;2;2;1;0;2;2
temps;1;2;1;3;1;2;3
revenir;0;1;0;4;3;0;0
rentrer;1;0;0;4;1;1;1
produit;0;0;0;0;0;0;3
nicolas;1;4;0;0;0;0;0
juge;0;0;4;1;0;0;0
détenu;0;0;1;6;0;0;0
changer;2;0;3;2;0;0;0
sarkozy;1;3;0;0;0;0;0
retrouver;3;1;1;2;2;0;0
respecter;0;0;0;2;1;0;2
rassemblement;0;4;0;0;0;0;0
permettre;1;1;2;1;2;0;1
menace;0;0;1;1;0;4;0
