"";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol"
"1";3;3;3;3;3;13;13;13;13
"2";3;3;3;3;3;12;12;12;12
"3";3;3;3;3;3;12;12;12;12
"4";3;3;3;3;3;13;13;13;13
"5";3;3;3;3;3;13;13;13;13
"6";3;3;3;3;3;13;13;13;13
"7";3;3;3;3;3;13;13;13;13
"8";3;3;3;3;3;13;13;13;13
"9";3;3;3;3;3;12;12;12;12
"10";3;3;3;3;3;12;12;12;12
"11";3;3;3;3;3;12;12;12;12
"12";3;3;3;3;3;13;13;13;13
"13";2;5;5;8;8;8;14;14;14
"14";2;4;6;6;10;10;10;17;17
"15";2;4;7;7;7;7;7;7;19
"16";2;4;7;7;7;7;7;7;18
"17";2;4;7;7;7;7;7;7;19
"18";2;4;7;7;7;7;7;7;19
"19";2;4;7;7;7;7;7;7;19
"20";2;4;7;7;7;7;7;7;19
"21";2;4;7;7;7;7;7;7;18
"22";2;4;7;7;7;7;7;7;18
"23";2;4;7;7;7;7;7;7;18
"24";2;4;6;6;10;10;10;16;16
"25";2;4;6;6;10;10;10;16;16
"26";2;4;6;6;10;10;10;16;16
"27";2;4;6;6;10;10;10;16;16
"28";2;4;6;6;10;10;10;16;16
"29";2;4;6;6;10;10;10;17;17
"30";2;4;6;6;10;10;10;17;17
"31";2;4;6;6;10;10;10;17;17
"32";2;4;6;6;11;11;11;11;11
"33";2;4;6;6;11;11;11;11;11
"34";2;5;5;8;8;8;15;15;15
"35";2;5;5;8;8;8;15;15;15
"36";2;5;5;8;8;8;15;15;15
"37";2;5;5;8;8;8;14;14;14
"38";2;5;5;8;8;8;15;15;15
"39";2;5;5;8;8;8;14;14;14
"40";2;5;5;8;8;8;14;14;14
"41";2;5;5;9;9;9;9;9;9
"42";2;5;5;8;8;8;14;14;14
"43";2;5;5;8;8;8;14;14;14
"44";2;4;6;6;11;11;11;11;11
"45";2;4;6;6;11;11;11;11;11
"46";2;4;6;6;11;11;11;11;11
"47";2;5;5;9;9;9;9;9;9
"48";2;5;5;9;9;9;9;9;9
"49";2;5;5;9;9;9;9;9;9
"50";2;5;5;9;9;9;9;9;9
"51";2;4;6;6;11;11;11;11;11
"52";2;5;5;8;8;8;14;14;14
