"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"7";"***";"";""
"**";"classe";"1";"**";"";""
"****";"5";"40";"12.5";"****";""
"4";" 5";" 80.00";"23.804";"pire";"1.066561e-06"
"3";" 3";"100.00";"22.703";"payer";"1.891017e-06"
"4";" 6";" 66.67";"18.936";"milliard";"1.352078e-05"
"4";" 6";" 66.67";"18.936";"lecornu";"1.352078e-05"
"5";"10";" 50.00";"17.143";"sébastien";"3.467108e-05"
"3";" 4";" 75.00";"15.873";"économie";"6.773767e-05"
"3";" 4";" 75.00";"15.873";"objectif";"6.773767e-05"
"3";" 4";" 75.00";"15.873";"résultat";"6.773767e-05"
"3";" 4";" 75.00";"15.873";"finance";"6.773767e-05"
"3";" 4";" 75.00";"15.873";"ps";"6.773767e-05"
"4";" 7";" 57.14";"15.461";"déficit";"8.423735e-05"
"4";" 7";" 57.14";"15.461";"lr";"8.423735e-05"
"4";" 8";" 50.00";"12.857";"public";"3.361935e-04"
"5";"14";" 35.71";"10.612";"budget";"1.123412e-03"
"3";" 6";" 50.00";" 9.076";"façon";"2.590383e-03"
"2";" 3";" 66.67";" 8.700";"absolu";"3.181876e-03"
"2";" 3";" 66.67";" 8.700";"intérêt";"3.181876e-03"
"2";" 3";" 66.67";" 8.700";"discussion";"3.181876e-03"
"3";" 7";" 42.86";" 7.149";"euro";"7.500406e-03"
"3";" 7";" 42.86";" 7.149";"réalité";"7.500406e-03"
"4";"12";" 33.33";" 6.803";"état";"9.101905e-03"
"3";" 8";" 37.50";" 5.714";"macron";"1.682741e-02"
"2";" 4";" 50.00";" 5.714";"électeur";"1.682741e-02"
"2";" 4";" 50.00";" 5.714";"ordre";"1.682741e-02"
"2";" 4";" 50.00";" 5.714";"chercher";"1.682741e-02"
"2";" 4";" 50.00";" 5.714";"ouvrir";"1.682741e-02"
"3";" 9";" 33.33";" 4.608";"compte";"3.181765e-02"
"3";" 9";" 33.33";" 4.608";"retrouver";"3.181765e-02"
"4";"15";" 26.67";" 4.404";"ministre";"3.585874e-02"
"2";" 5";" 40.00";" 3.951";"gouvernement";"4.684295e-02"
"2";" 5";" 40.00";" 3.951";"impôt";"4.684295e-02"
"2";" 5";" 40.00";" 3.951";"continuer";"4.684295e-02"
"2";" 5";" 40.00";" 3.951";"chiffre";"4.684295e-02"
"2";" 5";" 40.00";" 3.951";"durer";"4.684295e-02"
"3";"10";" 30.00";" 3.733";"premier";"5.333685e-02"
"3";"10";" 30.00";" 3.733";"seul";"5.333685e-02"
"5";"26";" 19.23";" 3.077";"français";"7.941063e-02"
"4";"18";" 22.22";" 2.828";"aller";"9.261734e-02"
"2";" 6";" 33.33";" 2.801";"emmanuel";"9.419846e-02"
"2";" 6";" 33.33";" 2.801";"soutenir";"9.419846e-02"
"2";" 6";" 33.33";" 2.801";"engager";"9.419846e-02"
"2";" 6";" 33.33";" 2.801";"chenu";"9.419846e-02"
"4";"20";" 20.00";" 2.057";"passer";"1.514940e-01"
"4";"20";" 20.00";" 2.057";"gens";"1.514940e-01"
"2";" 7";" 28.57";" 2.004";"accord";"1.569147e-01"
"2";" 7";" 28.57";" 2.004";"changer";"1.569147e-01"
"*****";"*";"*";"*";"*";"*"
"3";" 3";"100.00";"22.703";"8";"1.891017e-06"
"3";" 7";" 42.86";" 7.149";"5";"7.500406e-03"
"3";" 7";" 42.86";" 7.149";"2";"7.500406e-03"
"3";" 7";" 42.86";" 7.149";"4";"7.500406e-03"
"3";" 8";" 37.50";" 5.714";"rien";"1.682741e-02"
"2";" 4";" 50.00";" 5.714";"2026";"1.682741e-02"
"2";" 4";" 50.00";" 5.714";"24";"1.682741e-02"
"2";" 5";" 40.00";" 3.951";"20";"4.684295e-02"
"4";"16";" 25.00";" 3.810";"savoir";"5.096194e-02"
"2";" 6";" 33.33";" 2.801";"près";"9.419846e-02"
"2";" 7";" 28.57";" 2.004";"toute";"1.569147e-01"
"*";"*";"*";"*";"*";"*"
"4";"9";"44.44";"10.835";"*videoid_p6Pzs3iGwNk";"0.0009962011"
"**";"classe";"2";"**";"";""
"****";"6";"40";"15";"****";""
"4";" 4";"100.00";"25.185";"rassemblement";"5.208073e-07"
"4";" 4";"100.00";"25.185";"jordan";"5.208073e-07"
"6";" 9";" 66.67";"24.314";"national";"8.185373e-07"
"4";" 5";" 80.00";"18.936";"nicolas";"1.352078e-05"
"4";" 5";" 80.00";"18.936";"pen";"1.352078e-05"
"4";" 5";" 80.00";"18.936";"marine";"1.352078e-05"
"3";" 3";"100.00";"18.378";"bardella";"1.811014e-05"
"3";" 3";"100.00";"18.378";"intéressant";"1.811014e-05"
"4";" 6";" 66.67";"14.779";"rn";"1.208785e-04"
"3";" 4";" 75.00";"12.549";"sarkozy";"3.964142e-04"
"3";" 4";" 75.00";"12.549";"union";"3.964142e-04"
"4";" 7";" 57.14";"11.819";"député";"5.862838e-04"
"4";" 7";" 57.14";"11.819";"président";"5.862838e-04"
"3";" 5";" 60.00";" 9.076";"républicain";"2.590383e-03"
"3";" 5";" 60.00";" 9.076";"assemblée";"2.590383e-03"
"2";" 3";" 66.67";" 6.790";"rencontrer";"9.165349e-03"
"2";" 3";" 66.67";" 6.790";"citer";"9.165349e-03"
"2";" 3";" 66.67";" 6.790";"ensemble";"9.165349e-03"
"2";" 3";" 66.67";" 6.790";"soutien";"9.165349e-03"
"2";" 3";" 66.67";" 6.790";"rencontre";"9.165349e-03"
"2";" 3";" 66.67";" 6.790";"philippe";"9.165349e-03"
"2";" 3";" 66.67";" 6.790";"expérience";"9.165349e-03"
"3";" 6";" 50.00";" 6.782";"sentir";"9.208130e-03"
