"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7"
"français";0,079;1;1;1;0,695;0,079;0,079
"voir";0,602;1;0,602;0,057;0,057;1;1
"prison";1;1;0,009;0;1;1;1
"budget";0,001;1;1;1;0,026;1;1
"aller";0,093;1;1;1;0,477;1;0,008
"pays";0,277;0,622;0,904;0,412;1;0,04;1
"peine";1;1;0,003;0,023;1;1;1
"passer";0,151;1;1;1;0,677;0,151;0,633
"gens";0,151;1;0,633;0,212;1;0,633;0,633
"politique";1;0,028;1;1;0,388;0,07;1
"parler";0,21;1;0,802;1;0,026;1;1
"milliard";0;1;1;1;0,268;1;1
"année";0,21;0,403;1;1;1;1;0,024
"voter";0,408;0,125;1;0,81;0,23;1;1
"venir";0,633;1;1;0,037;0,677;1;1
"trouver";0,267;1;0,902;0,747;0,747;1;1
"fois";1;0,962;1;0,125;1;0,702;1
"sécurité";0,21;1;0,802;0,631;0,631;0,21;1
"loi";1;1;0,009;0;1;1;1
"comprendre";1;1;0,118;1;0,414;0,118;1
"prendre";0,21;1;0,21;1;1;0,21;1
"justice";1;1;0;0,23;0,81;1;1
"chose";0,902;0,493;0,267;1;0,747;1;0,902
"état";0,009;1;1;1;1;0,602;1
"mois";1;1;0,002;0,81;1;1;0,408
"moment";0,232;1;1;0,096;1;1;0,232
"ministre";0,036;1;1;0,747;0,237;0,902;1
"déficit";0;1;1;1;0,052;1;1
"compte";0,032;1;1;0,672;0,156;1;1
"national";1;0;1;1;0,672;1;1
"gouvernement";0,047;1;0,588;1;0,157;1;1
"effet";0,329;1;0,051;1;1;0,051;1
"notamment";1;1;0,802;0,631;0,002;1;1
"député";1;0,001;1;1;0,396;0,875;1
"acheter";0,875;1;0,875;1;1;1;0
"partie";1;0,403;1;0;1;1;0,802
"grand";1;1;1;0,084;0,414;1;0,118
"exemple";1;1;0,802;0,176;1;1;0,024
"arriver";1;1;1;0,672;0,672;1;0,032
"vrai";1;0,376;1;1;1;0,232;0,232
"semaine";1;0,609;1;1;0,031;1;0,002
"nombre";1;1;0,503;1;0,944;0,082;1
"hôpital";1;1;1;0,453;0,02;1;1
"fond";1;1;1;0,81;0,031;1;1
"fin";0,602;1;0,602;1;1;1;0,118
"agent";1;1;0,017;0;1;1;1
"étranger";1;1;0,875;0,052;1;0,008;1
"premier";0,053;1;0,408;1;1;1;0,408
"mettre";0,316;1;0,032;1;1;1;0,316
"européen";0,875;1;0,875;0,396;1;0,875;0,875
"droit";1;0,125;1;1;0,031;1;1
"cas";1;0,609;0,053;1;1;1;0,408
"appeler";0,602;1;1;1;1;0,118;0,602
"accord";0,157;0,268;1;1;1;0,875;0,875
"sûr";1;1;1;1;0,396;0,157;0,875
"social";0,738;1;1;1;0,001;1;1
"partir";0,232;0,376;1;1;1;0,232;1
"moyen";0,426;1;1;1;0,677;0,426;0,426
"jour";1;1;0,032;0,156;1;1;0,316
"euro";0,008;1;0,875;1;0,396;1;0,875
"vote";0,426;1;1;1;0,001;1;1
"travailler";1;0,901;0,738;0,268;0,268;1;1
"place";1;1;1;0,533;1;1;1
"important";1;0,962;0,16;0,519;1;0,16;1
"téléphone";1;1;0,738;0,001;1;1;0,738
"souhaiter";0,738;1;0,738;0,268;1;1;0,738
"public";0;1;1;1;0,096;1;1
"noël";1;1;1;1;1;0,426;0
"monde";1;1;0,316;1;1;0,032;1
"macron";0,017;0,376;1;1;0,533;1;1
"face";0,875;1;0,875;1;1;0,008;1
"connaître";0,503;0,729;0,503;1;1;0,503;0,503
"temps";1;0,962;1;0,519;1;0,702;0,16
"revenir";1;1;1;0,007;0,096;1;1
"rentrer";1;1;1;0,007;1;1;1
"produit";1;1;1;1;1;1;0
