"";"";"";"";"gone";""
"1";"gone";"0.625626390465323";"-0.521241849068017";"1.51611706933805";"23"
"2";"again";"0.374533950127013";"-0.070304934569275";"1.3888446277745";"33"
"3";"took";"0.877264027125242";"-0.384171566578825";"1.28923747790218";"51"
"4";"together";"0.618151291082771";"-0.522553760954154";"1.24020742486741";"57"
"5";"always";"-0.337889704836459";"-0.421389679883439";"1.21862659595364";"58"
"6";"last";"0.358214159381506";"-0.247282997568218";"1.20529954822235";"60"
"7";"a";"0.0529096115843892";"-0.0981951492044934";"1.20102141033196";"61"
"8";"and";"0.0527999284422723";"0.00331209800963304";"1.16614810449813";"64"
"9";"old";"0.730192725158014";"-0.344109076355948";"1.15182714594382";"66"
"10";"soon";"0.254853606540829";"-0.0988980719427308";"1.13423924572776";"68"
"11";"before";"0.314418398365322";"-0.103712310302247";"1.10831113730112";"72"
"12";"then";"0.374410612237284";"-0.116165154815858";"1.10473305833824";"73"
"13";"well";"-0.0429361253173503";"-0.377164485151593";"1.08691180514634";"78"
"14";"you";"-0.0633357468934667";"-0.302165987255512";"1.06773364761344";"83"
"15";"new";"0.902739286732722";"0.0371418865939522";"1.04801099980357";"89"
"16";"most";"-0.450451040635706";"-0.0188175779202819";"1.04743193871538";"90"
"17";"saw";"0.361258930327747";"0.366184183218667";"1.02873777253978";"95"
"18";"near";"0.687605647665989";"-0.33290801046773";"1.02159890001964";"97"
"19";"than";"-0.393990179741898";"0.0359283380438735";"1.01993085837753";"98"
"20";"twice";"0.997520479332164";"-0.754340568626571";"1.0130858377529";"105"
"21";"his";"-0.363112323794357";"0.0304112131630926";"1.00852249066981";"107"
"22";"oh";"0.423941744470931";"-0.310108099270032";"1.00834099391082";"109"
"23";"know";"-0.171631192494969";"-0.231072076751406";"0.999689648399136";"113"
"24";"few";"0.600162589238184";"-0.0376524683809065";"0.998531526222746";"114"
"25";"such";"-0.445007793476423";"0.15714850699426";"0.995134944018857";"115"
"26";"wish";"-0.409955816754322";"-0.0269918594174256";"0.977218621096052";"123"
"27";"anything";"-0.232581208767111";"0.337393585671707";"0.975939501080338";"125"
"28";"upon";"-0.0177456314891308";"-0.339968138676022";"0.973977607542722";"126"
"29";"those";"-0.374021351596559";"0.0469588857135278";"0.973208406992732";"128"
"30";"must";"-0.387590104873091";"0.0536653034440156";"0.967590650166961";"132"
"31";"sure";"-0.0574874634693497";"-0.572274671728818";"0.963407582007464";"134"
"32";"not";"-0.174408603271135";"-0.0319272298516779";"0.960849341976036";"135"
"33";"other";"-0.127929748509342";"-0.140545873332864";"0.958299744647417";"137"
"34";"some";"0.209265542755418";"0.256715789170842";"0.955940286780593";"139"
"35";"above";"0.758256099523375";"0.133511244851535";"0.951402867805932";"140"
"36";"with";"-0.020307082635827";"0.0537293097662789";"0.949786682380672";"142"
"37";"would";"-0.208469080643605";"-0.187487901457495";"0.946372814771165";"144"
"38";"in";"0.00782423903779135";"0.0131010273151691";"0.946243174229032";"145"
"39";"said";"0.0655718395102422";"-0.0990773520069205";"0.944730701237478";"146"
"40";"see";"0.286241936362303";"-0.241315408463663";"0.943598507169515";"149"
"41";"used";"-0.357422147917592";"-0.177118850672844";"0.939510508740915";"152"
"42";"tell";"0.0969319224705906";"-0.18361696657825";"0.937289334119034";"153"
"43";"indeed";"-0.144715030888641";"-0.342328724459279";"0.935094087605579";"155"
"44";"afterwards";"0.448006787659667";"-0.289766230227329";"0.932993910823021";"156"
"45";"getting";"0.799025481203709";"-0.802169513041072";"0.931637006482027";"158"
"46";"should";"-0.196433901853567";"-0.380133148544999";"0.92768729129837";"161"
"47";"neither";"-0.453021774942793";"0.307503194999197";"0.92552661559615";"162"
"48";"more";"-0.333229482605104";"0.105035818605848";"0.922112747986643";"167"
"49";"like";"-0.0312986850783343";"-0.207099243821908";"0.921870752307995";"169"
"50";"me";"-0.26253884061906";"-0.170215135575468";"0.921066980946769";"170"
"51";"therefore";"-0.333000888132198";"0.124226410593082";"0.916814771164801";"173"
"52";"myself";"-0.701464040960926";"0.0656398257509868";"0.916546847377725";"174"
"53";"make";"-0.177544817343235";"-0.024034769969807";"0.911637792182282";"178"
