"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"mass";"chi.distance";"inertie"
"mr";-0,138114592790907;-0,816554597701465;0,0207501812674227;0,0357862636902919;-0,166566617993692;-0,984767322539481;0,0250247815718007;0,0431583425985006;0,0417080233610489;0,956586580151288;0,000540227930514707;0,00116516855694301;0,000229153810720722;0,0080097397642671;5,17239566437112e-06;1,53844035898016e-05;0,0120129024142609;0,314579786050563;0,00118880213011485
"mrs";0,139050312602304;-0,819827209293685;0,561168231049762;0,393541386097651;0,129036233426351;-0,760785165943891;0,5207542039858;0,365199453414135;0,0274057142521471;0,625108199598505;0,256139236230882;0,0913468499184418;0,000193094519679582;0,00671228927930429;0,0031449385374644;0,00154670265405537;0,00998679209682202;0,390708137327153;0,00152451226169273
"miss";0,155808145308298;-0,553008406669776;0,365116250398457;-0,156060841966306;0,223093728249051;-0,791824502839114;0,522791317389282;-0,223455551691847;0,0779138999627598;0,644037933419496;0,245521610250409;0,032526556367311;0,000188565334248397;0,00237544514667166;0,00103548512597552;0,000189177477727868;0,0077675049641949;0,259647255054802;0,000523659529063704
"time";0,167105469635691;-0,292675963341754;0,53909717666662;0,0456745751639644;0,262161985687155;-0,459162179908605;0,84575799117394;0,0716561662913074;0,110910645728992;0,223243781120879;0,662397658524622;0,00344791462550688;0,000180270492377921;0,000552990190424721;0,00187619264483237;1,34676663125655e-05;0,00645569961454487;0,233402282002415;0,000351684728588974
"good";-0,232729456863965;-1,01681366138336;-0,949109160524508;-0,000286124199114556;-0,16502392923103;-0,72100278133401;-0,672994837221957;-0,000202885101964403;0,043347698887636;0,542949496171396;0,413702777677053;2,72639064867433e-08;0,000318027624825918;0,00607078537032633;0,00528925449724223;4,80696891721533e-10;0,00587167668490615;0,519959337222692;0,00158745307627849
"great";-0,248917103887317;-0,237979298707031;-0,304630925777436;-0,0605423141491984;-0,536754485052936;-0,513168657098698;-0,656893452251026;-0,130550926985624;0,402600151505609;0,241466100919799;0,346023190723925;0,00991055685065763;0,000347662991971724;0,000317780574138341;0,000520711255353163;2,05668139364617e-05;0,0056111126086058;0,182481491466011;0,000186847214726575
"feel";-0,851164719822668;0,910010882436783;0,412517531692936;-0,503829658737755;-0,605413967180608;0,647269894631394;0,293414270560702;-0,358362494797981;0,492460844221983;0,36936097013185;0,0663776799313358;0,0718005057148275;0,0040521277232861;0,00463179222558087;0,000951789081793627;0,00141978752641416;0,00559314267230923;0,564194451691804;0,00178038333132596
"give";-0,514809466555687;0,350573741923096;0,0322468593453994;0,219226221754539;-0,778736508578977;0,530302159381772;0,0487788362309715;0,331616789528526;0,723592211017835;0,220177510275081;0,00162917768159667;0,0546011010254841;0,00136566133194555;0,00063329889825996;5,35827267794882e-06;0,000247648078302072;0,00515287923304312;0,281514411267433;0,000408367553584927
"lady";0,293256739572036;-0,769240411278832;0,232513413072035;-0,0310908570713077;0,342584166152326;-0,898630958160459;0,271623471817765;-0,0363205134186481;0,170060875097611;0,767796171398476;0,0613475465895775;0,00079540691433414;0,00039137402177677;0,00269289967779412;0,000246032236236224;4,39907513923582e-06;0,00455088636710783;0,330785791346324;0,000497954526507676
"sister";-0,500307587569479;0,321982541600536;0,355148432515851;0,751767397512968;-0,489354820588843;0,314933678385977;0,347373499411635;0,73530965564941;0,399926955127717;0,108688726387674;0,115642926354298;0,375741392130308;0,00118747545927405;0,000491830109944073;0,000598370630066847;0,00268112732724769;0,00474406318229602;0,367999984624895;0,000642459958715072
