"";"classe 1"
"mr";0
"mrs";0
"miss";0
"time";0
"good";0
"great";0
"feel";0
"give";0
"lady";0
"sister";0
"day";0
"man";0
"long";0
"hear";0
"thing";0
"fanny";0
"friend";0
"dear";0
"speak";0
"hope";0
"find";0
"room";0
"young";0
"leave";0
"sir";0
"emma";0
"house";0
"elizabeth";0
"father";0
"talk";0
"elinor";0
"walk";0
"mother";0
"love";0
"person";0
"family";0
"begin";0
"happy";0
"catherine";0
"manner";0
"crawford";0
"mind";0
"jane";0
"return";0
"moment";0
"letter";0
"marianne";0
"part";0
"woman";0
"place";0
"home";0
"suppose";0
"feelings";0
"brother";0
"anne";0
"hour";0
"word";0
"pleasure";0
"half";0
"reply";0
"till";0
"heart";0
"year";0
"marry";0
"meet";0
"bring";0
"pass";0
"call";0
"subject";0
"morning";0
"sit";0
"present";0
"eye";0
"understand";0
"spirit";0
"turn";0
"weston";0
"party";0
"answer";0
"cry";0
"general";0
"poor";0
"harriet";0
"darcy";0
"write";0
"world";0
"edmund";0
"attention";0
"daughter";0
"kind";0
"opinion";0
"interest";0
"receive";0
"knightley";0
"visit";0
"expect";0
"elton";0
"life";0
"smile";0
"idea";0
"happiness";0
"child";0
"oblige";0
"doubt";0
"hand";0
"side";0
"bad";0
"back";0
"minute";0
"live";0
"captain";0
"end";0
"acquaintance";0
"girl";0
"comfort";0
"thomas";0
"point";0
"draw";0
"immediately";0
"affection";0
"short";0
"ill";0
"add";0
"woodhouse";0
"put";0
"deal";0
"assure";0
"open";0
"character";0
"bingley";0
"colonel";0
"bennet";0
"john";0
"door";0
"gentleman";0
"read";0
"dance";0
"week";0
"sort";0
"account";0
"care";0
"set";0
"rest";0
"stay";0
"continue";0
"cousin";0
"settle";0
"object";0
"dare";0
"circumstance";0
"henry";0
"surprise";0
"aunt";0
"chapter";0
"wife";0
"situation";0
"perfectly";0
"bertram";0
"edward";0
"engage";0
"small";0
"body";0
"remain";0
"carriage";0
"glad";0
"enter";0
"bear";0
"pretty";0
"power";0
"determine";0
"satisfy";0
"reason";0
"delight";0
"matter";0
"elliot";0
"change";0
"early";0
"dashwood";0
"observe";0
"mary";0
"fine";0
"business";0
"head";0
"agreeable";0
"town";0
"fairfax";0
"strong";0
"conversation";0
"regard";0
"fear";0
"uncle";0
"listen";0
"stand";0
"jennings";0
"state";0
"voice";0
"question";0
"bath";0
"wait";0
"ready";0
"forget";0
"concern";0
"mention";0
"fancy";0
"promise";0
"william";0
"churchill";0
"respect";0
"london";0
"engagement";0
"tilney";0
"marriage";0
"attend";0
"suffer";0
"son";0
"wentworth";0
"spend";0
"rushworth";0
"frank";0
"willoughby";0
"imagine";0
"convince";0
"impossible";0
"occasion";0
"pain";0
"norris";0
"lose";0
"distress";0
"view";0
"nature";0
"play";0
"high";0
"form";0
"join";0
"husband";0
"night";0
"country";0
"persuade";0
"remember";0
"fortune";0
"sense";0
"kindness";0
"equal";0
"dinner";0
"afraid";0
"true";0
"advantage";0
"attachment";0
"handsome";0
"forward";0
"express";0
"directly";0
"wickham";0
"happen";0
"full";0
"charles";0
"work";0
"honour";0
"act";0
"offer";0
"month";0
"air";0
"large";0
"lucy";0
"isabella";0
"usual";0
"laugh";0
"collins";0
"appearance";0
"street";0
"smith";0
"real";0
"notice";0
"mansfield";0
"table";0
"grow";0
"lead";0
"pay";0
"degree";0
"company";0
"prevent";0
"natural";0
"consequence";0
"regret";0
"common";0
"temper";0
"scarcely";0
"increase";0
"behaviour";0
"fix";0
"conduct";0
"shew";0
"resolve";0
"case";0
"address";0
"ten";0
"strike";0
"difficulty";0
"reach";0
"mistake";0
"taste";0
"plan";0
"grant";0
"face";0
"evil";0
"anxious";0
"alarm";0
"fall";0
"charm";0
"pleasant";0
"judge";0
"round";0
"compliment";0
"attempt";0
"hartfield";0
"dine";0
"companion";0
"truth";0
"silence";0
"drive";0
"depend";0
"horse";0
"close";0
"society";0
"desire";0
"park";0
"ball";0
"satisfaction";0
"catch";0
"beauty";0
"acknowledge";0
"hurry";0
"russell";0
"morland";0
"bate";0
"worth";0
"thought";0
"thorpe";0
"run";0
"prove";0
"force";0
"cold";0
"accept";0
"praise";0
"knowledge";0
"declare";0
"creature";0
"countenance";0
"agree";0
"thousand";0
"proper";0
"move";0
"wrong";0
"influence";0
"brandon";0
"throw";0
"spite";0
"opportunity";0
"servant";0
"seat";0
"fond";0
"easy";0
"claim";0
"choose";0
"walter";0
"repeat";0
"produce";0
"occur";0
"dress";0
"allen";0
"event";0
"endeavour";0
"effect";0
"admire";0
"acquaint";0
"sight";0
"late";0
"humour";0
"book";0
"morrow";0
"deserve";0
"decide";0
"curiosity";0
"window";0
"watch";0
"sake";0
"mile";0
"maria";0
"lydia";0
"favour";0
"difference";0
"twenty";0
"invitation";0
"duty";0
"send";0
"proceed";0
"prepare";0
"order";0
"comfortable";0
"price";0
"musgrove";0
"ferrars";0
"delightful";0
"aware";0
"perceive";0
"avoid";0
"suspect";0
"stop";0
"silent";0
"require";0
"instantly";0
"hold";0
"disposition";0
"share";0
"low";0
"civility";0
"warm";0
"scheme";0
"fair";0
"danger";0
"chance";0
"carry";0
"ago";0
"inclination";0
"highbury";0
"excuse";0
"trust";0
"secure";0
"past";0
"equally";0
"pause";0
"match";0
"extremely";0
"expression";0
"purpose";0
"intend";0
"health";0
"excellent";0
"amiable";0
"strange";0
"rise";0
"enjoyment";0
"arrival";0
"pride";0
"julia";0
"invite";0
"expectation";0
"arrive";0
"admit";0
"admiration";0
"judgment";0
"introduce";0
"breakfast";0
"trouble";0
"superior";0
"step";0
"recollect";0
"quiet";0
"hint";0
"disappointment";0
"inquiry";0
"pity";0
"money";0
"dispose";0
"break";0
"line";0
"journey";0
"habit";0
"gratitude";0
"attach";0
"slight";0
"niece";0
"news";0
"absence";0
"resolution";0
"raise";0
"favourite";0
"clear";0
"charlotte";0
"weather";0
"support";0
"style";0
"reflection";0
"perfect";0
"consideration";0
"tone";0
"sweet";0
"speech";0
"learn";0
"light";0
"easily";0
"cottage";0
"beg";0
"admiral";0
"recommend";0
"louisa";0
"vain";0
"remove";0
"observation";0
"highly";0
"friendship";0
"fact";0
"spare";0
"objection";0
"law";0
"delay";0
"age";0
"relate";0
"loss";0
"conviction";0
"middleton";0
"importance";0
"future";0
"exceedingly";0
"ashamed";0
"agitation";0
"pray";0
"information";0
"ease";0
"distance";0
"approach";0
"anxiety";0
"seek";0
"fault";0
"afford";0
"escape";0
"disappoint";0
"command";0
"refuse";0
"martin";0
"tea";0
"suspicion";0
"succeed";0
"quick";0
"ma";0
"lizzy";0
"gardiner";0
"credit";0
"confidence";0
"blush";0
"yesterday";0
"sound";0
"scene";0
"eager";0
"angry";0
"relation";0
"quarter";0
"fit";0
"altogether";0
"absolutely";0
"shock";0
"safe";0
"recover";0
"press";0
"neighbourhood";0
"james";0
"generally";0
"gain";0
"amuse";0
"affect";0
"tear";0
"proof";0
"pound";0
"merit";0
"improve";0
"bless";0
"bed";0
"arise";0
"sentiment";0
"mine";0
"encourage";0
"eldest";0
"boy";0
"assist";0
"affair";0
"harriet_s";0
"tom";0
"sink";0
"randalls";0
"belong";0
"service";0
"prospect";0
"misery";0
"guess";0
"barton";0
"note";0
"longbourn";0
"gratify";0
"enjoy";0
"due";0
"direct";0
"wear";0
"rich";0
"recollection";0
"palmer";0
"length";0
"explain";0
"excite";0
"consent";0
"complete";0
"shake";0
"parsonage";0
"justice";0
"confess";0
"astonish";0
"amusement";0
"ah";0
"profession";0
"joy";0
"dislike";0
"comprehend";0
"cheerful";0
"card";0
"suit";0
"lord";0
"astonishment";0
"arm";0
"trifle";0
"term";0
"motive";0
"intention";0
"indifference";0
"income";0
"finish";0
"colour";0
"vanity";0
"sudden";0
"propose";0
"picture";0
"improvement";0
"choice";0
"supply";0
"period";0
"lie";0
"fortnight";0
"exclaim";0
"eleanor";0
"connection";0
"visitor";0
"perry";0
"fire";0
"extraordinary";0
"cease";0
"beautiful";0
"affectionate";0
"spring";0
"plain";0
"neighbour";0
"lively";0
"glance";0
"folly";0
"fellow";0
"emma_s";0
"eat";0
"dreadful";0
"deep";0
"conceal";0
"venture";0
"secret";0
"quit";0
"inquire";0
"hill";0
"design";0
"consciousness";0
"cole";0
"uppercross";0
"sigh";0
"rain";0
"partner";0
"odd";0
"occupy";0
"intimacy";0
"convey";0
"connexion";0
"capable";0
"assurance";0
"show";0
"save";0
"road";0
"important";0
"explanation";0
"completely";0
"whisper";0
"unhappy";0
"tire";0
"necessity";0
"intelligence";0
"harville";0
"susan";0
"respectable";0
"reproach";0
"kitty";0
"hundred";0
"exertion";0
"encouragement";0
"painful";0
"netherfield";0
"leisure";0
"kellynch";0
"inform";0
"garden";0
"dr";0
"deceive";0
"conclude";0
"abbey";0
"treat";0
"sensation";0
"reserve";0
"notion";0
"expense";0
"arrangement";0
"teach";0
"summer";0
"solicitude";0
"public";0
"hall";0
"forgive";0
"fail";0
"distinguish";0
"constant";0
"behave";0
"apply";0
"master";0
"lucas";0
"indifferent";0
"estate";0
"employ";0
"die";0
"delicacy";0
"clever";0
"benwick";0
"advice";0
"rejoice";0
"prevail";0
"prefer";0
"music";0
"justify";0
"hard";0
"fresh";0
"felicity";0
