"";"classe 1"
"mr";1
"mrs";1
"miss";1
"time";1
"good";1
"great";1
"feel";1
"give";1
"lady";1
"sister";1
"day";1
"man";1
"long";1
"hear";1
"thing";1
"fanny";1
"friend";1
"dear";1
"speak";1
"hope";1
"find";1
"room";1
"young";1
"leave";1
"sir";1
"emma";1
"house";1
"elizabeth";1
"father";1
"talk";1
"elinor";1
"walk";1
"mother";1
"love";1
"person";1
"family";1
"begin";1
"happy";1
"catherine";1
"manner";1
"crawford";1
"mind";1
"jane";1
"return";1
"moment";1
"letter";1
"marianne";1
"part";1
"woman";1
"place";1
"home";1
"suppose";1
"feelings";1
"brother";1
"anne";1
"hour";1
"word";1
"pleasure";1
"half";1
"reply";1
"till";1
"heart";1
"year";1
"marry";1
"meet";1
"bring";1
"pass";1
"call";1
"subject";1
"morning";1
"sit";1
"present";1
"eye";1
"understand";1
"spirit";1
"turn";1
"weston";1
"party";1
"answer";1
"cry";1
"general";1
"poor";1
"harriet";1
"darcy";1
"write";1
"world";1
"edmund";1
"attention";1
"daughter";1
"kind";1
"opinion";1
"interest";1
"receive";1
"knightley";1
"visit";1
"expect";1
"elton";1
"life";1
"smile";1
"idea";1
"happiness";1
"child";1
"oblige";1
"doubt";1
"hand";1
"side";1
"bad";1
"back";1
"minute";1
"live";1
"captain";1
"end";1
"acquaintance";1
"girl";1
"comfort";1
"thomas";1
"point";1
"draw";1
"immediately";1
"affection";1
"short";1
"ill";1
"add";1
"woodhouse";1
"put";1
"deal";1
"assure";1
"open";1
"character";1
"bingley";1
"colonel";1
"bennet";1
"john";1
"door";1
"gentleman";1
"read";1
"dance";1
"week";1
"sort";1
"account";1
"care";1
"set";1
"rest";1
"stay";1
"continue";1
"cousin";1
"settle";1
"object";1
"dare";1
"circumstance";1
"henry";1
"surprise";1
"aunt";1
"chapter";1
"wife";1
"situation";1
"perfectly";1
"bertram";1
"edward";1
"engage";1
"small";1
"body";1
"remain";1
"carriage";1
"glad";1
"enter";1
"bear";1
"pretty";1
"power";1
"determine";1
"satisfy";1
"reason";1
"delight";1
"matter";1
"elliot";1
"change";1
"early";1
"dashwood";1
"observe";1
"mary";1
"fine";1
"business";1
"head";1
"agreeable";1
"town";1
"fairfax";1
"strong";1
"conversation";1
"regard";1
"fear";1
"uncle";1
"listen";1
"stand";1
"jennings";1
"state";1
"voice";1
"question";1
"bath";1
"wait";1
"ready";1
"forget";1
"concern";1
"mention";1
"fancy";1
"promise";1
"william";1
"churchill";1
"respect";1
"london";1
"engagement";1
"tilney";1
"marriage";1
"attend";1
"suffer";1
"son";1
"wentworth";1
"spend";1
"rushworth";1
"frank";1
"willoughby";1
"imagine";1
"convince";1
"impossible";1
"occasion";1
"pain";1
"norris";1
"lose";1
"distress";1
"view";1
"nature";1
"play";1
"high";1
"form";1
"join";1
"husband";1
"night";1
"country";1
"persuade";1
"remember";1
"fortune";1
"sense";1
"kindness";1
"equal";1
"dinner";1
"afraid";1
"true";1
"advantage";1
"attachment";1
"handsome";1
"forward";1
"express";1
"directly";1
"wickham";1
"happen";1
"full";1
"charles";1
"work";1
"honour";1
"act";1
"offer";1
"month";1
"air";1
"large";1
"lucy";1
"isabella";1
"usual";1
"laugh";1
"collins";1
"appearance";1
"street";1
"smith";1
"real";1
"notice";1
"mansfield";1
"table";1
"grow";1
"lead";1
"pay";1
"degree";1
"company";1
"prevent";1
"natural";1
"consequence";1
"regret";1
"common";1
"temper";1
"scarcely";1
"increase";1
"behaviour";1
"fix";1
"conduct";1
"shew";1
"resolve";1
"case";1
"address";1
"ten";1
"strike";1
"difficulty";1
"reach";1
"mistake";1
"taste";1
"plan";1
"grant";1
"face";1
"evil";1
"anxious";1
"alarm";1
"fall";1
"charm";1
"pleasant";1
"judge";1
"round";1
"compliment";1
"attempt";1
"hartfield";1
"dine";1
"companion";1
"truth";1
"silence";1
"drive";1
"depend";1
"horse";1
"close";1
"society";1
"desire";1
"park";1
"ball";1
"satisfaction";1
"catch";1
"beauty";1
"acknowledge";1
"hurry";1
"russell";1
"morland";1
"bate";1
"worth";1
"thought";1
"thorpe";1
"run";1
"prove";1
"force";1
"cold";1
"accept";1
"praise";1
"knowledge";1
"declare";1
"creature";1
"countenance";1
"agree";1
"thousand";1
"proper";1
"move";1
"wrong";1
"influence";1
"brandon";1
"throw";1
"spite";1
"opportunity";1
"servant";1
"seat";1
"fond";1
"easy";1
"claim";1
"choose";1
"walter";1
"repeat";1
"produce";1
"occur";1
"dress";1
"allen";1
"event";1
"endeavour";1
"effect";1
"admire";1
"acquaint";1
"sight";1
"late";1
"humour";1
"book";1
"morrow";1
"deserve";1
"decide";1
"curiosity";1
"window";1
"watch";1
"sake";1
"mile";1
"maria";1
"lydia";1
"favour";1
"difference";1
"twenty";1
"invitation";1
"duty";1
"send";1
"proceed";1
"prepare";1
"order";1
"comfortable";1
"price";1
"musgrove";1
"ferrars";1
"delightful";1
"aware";1
"perceive";1
"avoid";1
"suspect";1
"stop";1
