"n_grp","start","end","text","video_id","suffix"
0,3.399,6.309,"Et c'est l'heure du face- à face, il est arrivé à l'instant. Bonjour Géralde","6IOUEJN6GRI","bfm"
1,6.309,7.6,"d'Armanin. [rires]","6IOUEJN6GRI","bfm"
2,7.6,11.789,"Vous êtes le garde des SAAU, ministre de la justice. De très nombreuses questions","6IOUEJN6GRI","bfm"
3,11.789,13.16,"à vous poser parce qu'en plus votre","6IOUEJN6GRI","bfm"
4,13.16,16.349,"parole est de plus en plus rare. Désormais vous vous faites discret sur","6IOUEJN6GRI","bfm"
5,16.349,17.92,"les questions politiques mais là il y a","6IOUEJN6GRI","bfm"
6,17.92,23.109,"vraiment du boulot et notamment sur le front de la justice pénale. Vous venez","6IOUEJN6GRI","bfm"
7,23.109,26.92,"notamment détailler votre projet de loi.","6IOUEJN6GRI","bfm"
8,26.92,30.63,"Je cite le titre de votre projet de loi. Un projet de loi visant à assurer une","6IOUEJN6GRI","bfm"
9,30.63,34.879,"sanction utile, rapide et effective. en","6IOUEJN6GRI","bfm"
10,34.879,37.83,"gros une justice plus ferme. Est-ce que ça veut dire qu'en creux, vous","6IOUEJN6GRI","bfm"
11,37.83,38.96,"reconnaissez qu'aujourd'hui les","6IOUEJN6GRI","bfm"
12,38.96,44.67,"sanctions ne sont ni utiles, ni rapides, ni effective ? Alors, la justice est","6IOUEJN6GRI","bfm"
13,44.67,46.68,"lente et c'est, je pense, la grande","6IOUEJN6GRI","bfm"
14,46.68,51.15,"injustice de notre pays. Le temps euh trop important que la victime que","6IOUEJN6GRI","bfm"
15,51.15,53.68,"l'accusé attend, que la société attend","6IOUEJN6GRI","bfm"
16,53.68,57.91,"pour la sanction, ça c'est sûr. Et cette lenteur de la justice, ça vaut dans la","6IOUEJN6GRI","bfm"
17,57.91,59.68,"justice pénale, ça vaut aussi dans la","6IOUEJN6GRI","bfm"
18,59.68,63.029,"justice civile. On attend trop souvent son divorce, sa garde de ses enfants, la","6IOUEJN6GRI","bfm"
19,63.029,64.76,"tutelle, son problème immobilier qu'on","6IOUEJN6GRI","bfm"
20,64.76,69.429,"doit régler. Est-ce que la justice est efficace ? Elle est en partie mais elle","6IOUEJN6GRI","bfm"
21,69.429,71.2,"l'est pas totalement. La moitié des","6IOUEJN6GRI","bfm"
22,71.2,74.59,"peines de prison prononcées par les tribunaux, les gens ne vont pas une","6IOUEJN6GRI","bfm"
23,74.59,76.6,"seule journée en prison. Est-ce que","6IOUEJN6GRI","bfm"
24,76.6,80.87,"c'est efficace de prononcer des peines de prison qu'on ne fait jamais ? Autant","6IOUEJN6GRI","bfm"
25,80.87,83.159,"ne pas les prononcer ou et faire celle","6IOUEJN6GRI","bfm"
26,83.159,87.63,"que l'on prononce et puis est-ce que c'est utile ? Mais il y a 70 % de","6IOUEJN6GRI","bfm"
27,87.63,89.079,"récidives dans notre pays quand les","6IOUEJN6GRI","bfm"
28,89.079,92.83,"détenus sortent de prison. Il récidivent 7 fois sur 10. Ça montre que notre","6IOUEJN6GRI","bfm"
29,92.83,94,"système n'est pas efficace.","6IOUEJN6GRI","bfm"
30,94,97.55,"Quand je vous écoute, c'est un constat terrible. C'est un constat terrible","6IOUEJN6GRI","bfm"
31,97.55,98.68,"parce que la justice c'est très","6IOUEJN6GRI","bfm"
32,98.68,101.71,"important pour l'égalité entre les femmes et les hommes. Ça ça cimente","6IOUEJN6GRI","bfm"
33,101.71,104.04,"évidemment la démocratie. Ça ça nourrit","6IOUEJN6GRI","bfm"
34,104.04,107.55,"le populisme que de voir une justice inefficace. Je constate malheureusement","6IOUEJN6GRI","bfm"
35,107.55,109.079,"que tous les pays européens ont les","6IOUEJN6GRI","bfm"
36,109.079,113.83,"mêmes difficultés parce que nous avons basé notre système de justice sur le","6IOUEJN6GRI","bfm"
