"video_id","playlist_id","publishedAt","title","channelTitle","description","position"
"VuJjz1mas5w","PLg6GanYvTasW3tTMej4dqF65OBYud7vpr","2025-12-19T07:53:37Z","Éric Coquerel, député LFI, est l'invité politique de la matinale de franceinfo","franceinfo","Commission mixte paritaire, budget de l'Etat, traité Mercosur et dermatose nodulaire... Eric Coquerel, député La France insoumise et président de la Commission des Finances de l'Assemblée nationale, était l'invité politique de la matinale de franceinfo, vendredi 19 décembre. Il a assuré qu'il y avait ""9 chances sur 10"" qu'il n'y ait pas d'accord sur la Commission mixte paritaire qui se tient vendredi matin. ""Sur le fond, ce budget n'est pas souhaitable. Et en plus, il n'a pas de majorité"", a-t-il ajouté.

--

http://www.franceinfo.fr
Twitter : https://twitter.com/franceinfo
Facebook :  https://www.facebook.com/franceinfo/
Instagram : https://www.instagram.com/franceinfo/
TikTok : https://www.tiktok.com/@franceinfo
Twitch : https://www.twitch.tv/franceinfo
Bluesky : https://bsky.app/profile/franceinfo.fr
Threads : https://www.threads.net/@franceinfo?hl=fr",0
"BcFkmfHmFO8","PLg6GanYvTasW3tTMej4dqF65OBYud7vpr","2025-12-18T13:44:30Z","Cyrielle Chatelain, députée Écologiste et Social, était l'invitée de la matinale de franceinfo","franceinfo","Dermatose nodulaire, Mercosur, budget de la Sécurité sociale et budget de la France... Cyrielle Chatelain, présidente du groupe Ecologiste et social à l'Assemblée nationale, était l'invitée politique de la matinale de franceinfo, jeudi 18 décembre. Interrogée par Alix Bouilhaguet, la députée a notamment assuré que le lien de confiance était rompue entre les agriculteurs et le gouvernement en raison de la crise agricole. ""Il n'y a pas de contestation de la nécessité d'abattage, la question c'est l'abattage total, on pourrait avoir un abattage ciblé sur les bêtes malades"", a-t-elle également déclaré.

--

http://www.franceinfo.fr
Twitter : https://twitter.com/franceinfo
Facebook :  https://www.facebook.com/franceinfo/
Instagram : https://www.instagram.com/franceinfo/
TikTok : https://www.tiktok.com/@franceinfo
Twitch : https://www.twitch.tv/franceinfo
Bluesky : https://bsky.app/profile/franceinfo.fr
Threads : https://www.threads.net/@franceinfo?hl=fr",1
"jxKtnA1C53g","PLg6GanYvTasW3tTMej4dqF65OBYud7vpr","2025-12-17T11:23:09Z","L'interview intégrale de Marc Ferracci, député EPR","franceinfo","Crise agricole, traité du Mercosur, budget de la Sécurité sociale et budget de l'Etat... Marc Ferracci, député EPR et ancien ministre chargé de l'Industrie, était l'invité politique de la matinale de franceinfo, mercredi 17 décembre. Il a notamment préconisé d'organiser ""un dialogue direct entre les scientifiques et les agriculteurs parce que quand les politiques s'expriment, il y a souvent du doute"" pour sortir de la crise de la dermatose nodulaire.",2
"5nLSCI5_tTE","PLg6GanYvTasW3tTMej4dqF65OBYud7vpr","2025-12-15T18:08:50Z","""S'il y a un cas ici, je ne le déclarerai pas""","franceinfo","Le protocole sanitaire mis en place par le gouvernement contre la dermatose nodulaire est contesté par de nombreux éleveurs. Nous sommes allés dans le Gers rencontrer l'un d'entre eux. Il explique que la vaccination pourrait suffire et éviter l'abattage de tout le troupeau, même si elle risque de priver les bovins français de leur statut européen de pays ""indemne"".",3
"8i0hQbUrLkc","PLg6GanYvTasW3tTMej4dqF65OBYud7vpr","2025-12-15T13:54:43Z","Que cherche Nicolas Sarkozy ?","franceinfo","🔴⚡️ Nicolas Sarkozy a semé un début de tempête au sein de sa famille politique et même au-delà en quelques lignes et quelques phrases d’un livre et d’une interview. L’union des droites est-elle possible ?

https://www.france.tv/france-2/journal-20h00/
Twitter : https://twitter.com/franceinfo
Facebook :  https://www.facebook.com/franceinfo/
Instagram : https://www.instagram.com/franceinfo/

#sarkozy #RN #politique #bardella #Lepen #droite #20h",4
"oK1SPZxVgS8","PLg6GanYvTasW3tTMej4dqF65OBYud7vpr","2025-12-12T08:37:34Z","Delphine Batho, députée écologiste des Deux-Sèvres, est l'invitée politique de la matinale","franceinfo","Liquidation de Brandt, le budget de la France, les 10 ans de l'accord de Paris... L'ancienne ministre de la Transition écologique de François Hollande, Delphine Batho, aujourd'hui députée écologiste et sociale des Deux-Sèvres était l'invitée politique de la matinale de franceinfo, vendredi 12 décembre. Elle a notamment assuré que le budget de la Sécurité sociale, qu'elle a voté, avait été ""nettoyé"" de toutes les horreurs et a assuré que les Français ""avaient une overdose d'instabilité politique"".

--

http://www.franceinfo.fr
Twitter : https://twitter.com/franceinfo
Facebook :  https://www.facebook.com/franceinfo/
Instagram : https://www.instagram.com/franceinfo/
TikTok : https://www.tiktok.com/@franceinfo
Twitch : https://www.twitch.tv/franceinfo
Bluesky : https://bsky.app/profile/franceinfo.fr
Threads : https://www.threads.net/@franceinfo?hl=fr",5
"2sI0KNhFIV8","PLg6GanYvTasW3tTMej4dqF65OBYud7vpr","2025-12-11T23:40:29Z","Le gouvernement bulgare démissionne, sur fond d'accusations de corruption","franceinfo","Bulgarie : le gouvernement  a démissionné jeudi 11 décembre, au lendemain d’une manifestation de masse, en partie portée par la Gen Z, sur fond de crise budgétaire et d'accusations de corruption.",6
"Ib9Clr0bx8c","PLg6GanYvTasW3tTMej4dqF65OBYud7vpr","2025-12-11T08:58:29Z","Florence Portelli (LR) est l'invitée politique de la matinale","franceinfo","Vote du budget de la Sécurité sociale, union des droites, Nicolas Sarkozy... Florence Portelli, vice-présidente LR du conseil régional d'Ile-de-France était l'invitée politique de 7h45 sur franceinfo, jeudi 11 décembre 2025. Elle a répondu aux questions d'Alix Bouilhaguet et n'a pas mâché ses mots, notamment lorsqu'elle a évoqué les prises de position de Nicolas Sarkozy. L'ancien chef de l'Etat ""donne une piètre image par rapport à ce qu'il a été"", selon elle.

--

http://www.franceinfo.fr
Twitter : https://twitter.com/franceinfo
Facebook :  https://www.facebook.com/franceinfo/
Instagram : https://www.instagram.com/franceinfo/
TikTok : https://www.tiktok.com/@franceinfo
Twitch : https://www.twitch.tv/franceinfo
Bluesky : https://bsky.app/profile/franceinfo.fr
Threads : https://www.threads.net/@franceinfo?hl=fr",7
"R3kdsDf62gU","PLg6GanYvTasW3tTMej4dqF65OBYud7vpr","2025-12-10T21:25:06Z","Les lecteurs de Nicolas Sarkozy favorables à l'union des droites ?","franceinfo","On est allé à la dédicace du nouveau livre de Nicolas Sarkozy, “Le journal d’un prisonnier”, le 10 décembre à Paris. Ses sympathisants sont-ils favorables à une union des droites ? On leur a posé la question.",8
"gil7R3t1UNA","PLg6GanYvTasW3tTMej4dqF65OBYud7vpr","2025-12-10T21:02:23Z","La présidente de France TV, Delphine Ernotte, face aux députés","franceinfo","La présidente de France Télévisions Delphine Ernotte a été interrogée par des députés de tous bords politiques mercredi 10 décembre lors d'une commission d'enquête sur l'audiovisuel public. Pendant 4h30, elle a défendu sa gestion financière de l'entreprise et la neutralité de ses programmes.",9
